# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=turkish,Türkçe
	ICON=Icons/turkish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_NS=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PS4=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PS4=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_XB1=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_XB1=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PC=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PC=
		Bu simge görüntülendiğinde
		bilgisayarınızı kapatmayın

# Main Menu
	MENU_DEBUG=		~DEBUG~
		"Bugün itibariyle otel resmi olarak kapalı. Charlotte, dağa doğru bir veda yürüyüşü için personeli organize etti. Çoğumuz zirveyi hiç görmedik."
		"Uygun bir veda gibi görünüyordu, ama zamanı geldiğinde son bir kez etrafa bakmadan ayrılmaya dayanamadım. Onlara bensiz devam etmelerini söyledim."
		"Her şeyin yolunda olup olmadığını iki kez{n}kontrol ettikten sonra yakında onlara yetişeceğim..."
		"Burada geçirdiğim zamanın artık bittiğine inanamıyorum.{n}Şimdi ne yapacağım?"
		"Belki de son bir gece bırada kalırım, böylece{n}otele doğru düzgün veda edebilirim..."

	CH3_OSHIRO_SUITE=
		{anchor bottom}
		[OSHIRO left normal]
		İşte geldik, ödüllü kral dairemiz karşınızda!

		[OSHIRO left worried]
		Gerçekten saf lüksün tam olarak tanımı budur.

		[OSHIRO left normal]
		İhtişamı içine çekebilmen için biraz geri çekileceğim.
		İhtişamın haşmetini hazmetmenin zor olduğunu anlıyorum.

		{trigger 3 Madeline walks around the room and looks around}
		
		[OSHIRO right nervous]
		Peki? Ne düşünüyorsunuz?
		
		[MADELINE left sad]
		Bu... yani, çok güzel.
		Mobilyalar epey kıymetli görünüyor...

		[MADELINE left distracted]
		Burası bayağı... ferah.

		[MADELINE left sad]
		Renk uyumu çok şık.

		[MADELINE left normal]
		Bunun için ne kadar çalıştığınız belli oluyor.

		[OSHIRO right worried]
		{*}Bunun sizi etkileyeceğini biliyordum!{/*}

		[MADELINE left sad]
		Evet.

		[MADELINE left distracted]
		...
		Peki, buradan çatıya çıkabilir miyim?
		
		[OSHIRO right sideworried]
		{+thought}Seni geri zekalı, onu elinden kaçırıyorsun!{+endthought}
		
		[OSHIRO right nervous]
		Oo ııı, az kalsın söylemeyi unutuyordum...
		Sizin gibi değerli misafirlerimiz en iyi{n}odamızda yarı fiyatına kalabilirler!
		
		[MADELINE left sad]
		Ben... kalmak istemiyorum.

		{trigger 0 Badeline appears in the mirror}
		
		[OSHIRO right serious]
		Lütfen, {+MS_MADELINE}.
		Lütfen kal.
		
		[MADELINE left upset]
		{+mroshiro}, zaten epeydir yolumun dışında ilerliyorum...

		{trigger 1 Badeline escapes the mirror}
		
		[BADELINE right normal]
		{+MADELINE}, tatlım, unut şu eziği.
		
		[OSHIRO left serious]
		Ezik mi? {silent_trigger 6}
		
		[BADELINE right upset]
		Kabullenemiyorsun, yaşlı adam. 
		Bu dinlenme tesisi tam bir {*}{!}çöplük{/!}{/*}{0.3}.

		[BADELINE right yell]
		Kimse burada {*}{!}asla{/!}{/*} kalmak istemez.
		
		[BADELINE right scoff]
		Birinin bunu söylemesi lazım.

		{trigger 4 Madeline steps closer to Oshiro}
		
		[MADELINE left sad]
		Öyle demek istemedi.
		
		[OSHIRO right serious]
		Ben... 

		[OSHIRO right lostcontrol]
		Ben çok meşgulüm.
		Lütfen gidin, {+MS_MADELINE}. {silent_trigger 5 Madeline jumps back}
		
		[BADELINE right upset]
		Hadi {~}{+MS_MADELINE}{/~}, adamı duydun.

		{trigger 2 Badeline blasts a hole in the ceiling}
		
		[BADELINE left normal]
		Bensiz şu an nerede olurdun acaba?

	CH3_OSHIRO_SUITE_SAD0=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Neden benim güzelim otelime çöplük dedi ki?{+endthought}

	CH3_OSHIRO_SUITE_SAD1=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}Sana böyle hakaret etmeye nasıl cüret eder?{+endthought}

	CH3_OSHIRO_SUITE_SAD2=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Peki haklıysa?{+endthought}

	CH3_OSHIRO_SUITE_SAD3=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}Tabii ki haklı.{n}Yardım etmese burayı temizleyemezdin bile.{+endthought}

	CH3_OSHIRO_SUITE_SAD4=
		{anchor bottom}
		[OSHIRO right lostcontrol]
		{+thought}Denedim. Elimden geleni yaptım.{+endthought}

	CH3_OSHIRO_SUITE_SAD5=
		{anchor bottom}
		[OSHIRO right serious]
		{+thought}{+MS_MADELINE} sadece yardım etmek istedi!{+endthought}

	CH3_OSHIRO_SUITE_SAD6=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Peki neden o kadar zalim davrandı ki?{+endthought}

	CH3_OSHIRO_START_CHASE=
		[BADELINE left normal]
		Ondan asla kurtulamayacağımızı düşünmeye başlamıştım.
		Bana borçlandın. 

		[BADELINE left scoff]
		Listeye ekledim.
		
		[MADELINE right upset]
		Beni yalnız bırak.

		{trigger 0 Maddy walks away}
		
		[BADELINE left upset]
		Tırmanmaya devam etmek için {~}bayağıı{/~}{n}kararlı olduğunu sanıyordum.

		[BADELINE left scoff]
		Şimdi birden ucube terapistine mi dönüştün?

		{trigger 1 Maddy turns around}
		
		[MADELINE right angry]
		Neden gitmiyorsun?

		{trigger 2 Oshiro enters}
		
		[OSHIRO left serious]
		{+MS_MADELINE}, siz gitmeden önce...
		Bir soru sormam lazım...
		
		[OSHIRO left serious]
		Öylece çekip gidecekti iseniz, neden bu kadar nazik davrandınız?
		Nerede hata ettim?
		
		[BADELINE right scoff]
		Of, kes artık. Hala anlamadın mı?

		[BADELINE right upset]
		O sadece çarpık egosunu tatmin etmek için insanlara yardım ediyor.
		
		[BADELINE right yell]
		O {*}asla{/*} sana değer vermedi.
		
		[MADELINE right angry]
		Kes sesini! 
		
		[MADELINE right sad]
		Sadece yardım etmek istemiştim.
		
		[BADELINE right scoff]
		İkiniz de acınacak haldesiniz.

		{trigger 3 Badeline disappears, Oshiro gets angry}

		[OSHIRO left lostcontrol]
		Acınacak halde mi!?
		Buraya sadece beni aşağılamak için geldin...
		Artık sizin ayaklarınızın altında ezilmeyeceğim!

	CH3_OSHIRO_CHASE_END=
		{anchor top}
		[MADELINE right surprised]
		{+mroshiro}, durun!

		{trigger 0 Oshiro slams the roof below their feet and it begins shaking}
		
		[MADELINE right surprised]
		Sadece yardım etmek istemiştim!

	CH3_ENDING=
		[OSHIRO left serious]
		...
		Onarım için oteli kapatmaya karar verdim.
		İkinci katın su tesisatı sızdırıyor...
		...kütüphane tam bir kargaşa içinde...
		...kral dairesinin tavanındaki{n}delikten bahsetmiyorum bile.

		{trigger 0 Turn and pause, turn back}

		[OSHIRO left serious]
		Lütfen, beni yalnız bırakın.

# *** Chapter 04 ***

	CH4_GRANNY_1=
		[MADELINE left upset]
		Oh harika, yine sen.

		{trigger 3 zoom in}
		
		[GRANNY right normal]
		Bak sen, seni bu kadar yukarıda görmeyi beklemiyordum!
		Hala tek parça olmana sevindim.
		Otelin içinden geçtiğini gördüm,{n}{+mroshiro} ile tanıştın mı?

		{trigger 4 maddy turns around}
		
		[MADELINE left upset flip]
		Oh, bayağı iyi tanıştık.
		Beni dışarı kadar kovaladı.
		Hem de onun için bir sürü karışıklığı toparladığım halde.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Hah ha ha, bayağı eğlenceli bir sabah olmuş.

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		{+oshiro} kayıp bir ruh, tatlım.
		O yer, onun için bir otelden çok da fazla şey ifade ediyor.
		Onu, o kadar da kafana takma.

		{trigger 5 maddy approaches}
		
		[MADELINE left angry]
		Ne düşünüyorum biliyor musunuz?
		Bence {+mountain}, ikinize de kafayı yedirmiş.

		{trigger 2 Wait a beat}
		
		[GRANNY right normal]
		Biliyor musun, bunu söyleyen ilk kişi sen değilsin.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Belki de haklısın.
		Deliysem bunu nasıl bilebilirim ki?

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		Gördüğüm kadarıyla, {+mountain} içinde{n}olmayan şeyi karşına çıkaramıyor.

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Ama gelip burada yaşamak için birkaç{n}tahtanın eksik olması lazım değil mi?

		{trigger 2 Wait a beat}
		
		[MADELINE left upset]
		Ne diyorsun be?

		{trigger 1 Stop Laughing}
		
		[GRANNY right mock]
		Oh, sadece yaşlılık hakkında mızmızlanıyorum.

		[GRANNY right normal]
		Pes etmeye hazır mısın?{n}Arabana dönebileceğin kısa bir yol biliyorum.

		{trigger 6 Maddy walks past granny}
		 
		[MADELINE right upset flip]
		Kesin şunu, hanımefendi.
		Ben zirveye çıkacağım.
		
		[GRANNY left normal flip]
		Bazen inatçılık ve kararlılık{n}arasındaki farkı söylemek zor değil mi?
		Bana kendi gençliğimi hatırlatıyorsun.

		{trigger 0 Start Laughing}

		[GRANNY left laugh flip]
		İyi şanslar ve rüzgara dikkat et.

	CH4_GRANNY_2=
		[MADELINE left upset]
		Buralarda sizi pek ziyarete gelmiyorlar, değil mi?

		[GRANNY right normal]
		Hayır, geldiklerini söyleyemem.
		Doğrusu yalnızlığı da çok umursamıyorum.

		[MADELINE left distracted]
		Bazen ben de tek başıma yaşamayı düşünüyorum.

		[MADELINE left sad]
		Gerçekten {+mroshiro}'yu anlamaya çalıştım.{n}Ona yardım etmek istedim.

		[GRANNY right normal]
		{+OSHIRO}'nun o otelden ayrılması gerekiyor.
		Ama bu senin zirveye ulaşma planın süresince gerçekleşmeyecek.
		Ve ona bunu kanıtlasan da bir yardımı dokunmayacak.

		[MADELINE left distracted]
		...

	CH4_GRANNY_3=
		[MADELINE left sad]
		O küçük kulübede yalnız kalmıyor musunuz?

		[GRANNY right normal]
		Arkadaşlarım var, tatlım.

		[GRANNY right mock]
		Biraz çatlak olabilirim ama bir keşiş değilim.

		[MADELINE left distracted]
		Üzgünüm.
		Bunu kastetmemiştim.

		[GRANNY right normal]
		Gençken böyle bir yerde bu kadar{n}uzun süre kalmayı hayal dahi edemezdim.
		Ama sonra bu {+MOUNTAIN}ı buldum.
		Hemen sonra buranın evim olacağını anlamıştım.

		[MADELINE left sad]
		Peki burayı bu kadar özel kılan şey ne?

		[GRANNY right normal]
		{+MOUNTAIN} sana gerçekten olduğun şeyi gösterir.
		Buna hazır olsan da olmasan da.
		Bu beni dürüst tutuyor.

	CH4_GONDOLA=
		{anchor top}
		[UNKNOWN]
		{+MADELINE}! Bekle!

		{trigger 0 Enter Theo from above, he falls and lands on the ground face-down}
		
		[THEO left nailedit]
		{%}{*}B a ş a r d ı m .{/*}{/%}

		{trigger 1 Check on Theo}
		
		[MADELINE right sad]
		{+theo}! İyi misin?
		
		[THEO left nailedit]
		Oof. Evet.
		Bana biraz zaman ver.

		{trigger 2 Theo gets up}
		
		[THEO left excited]
		Bir teleferik! Hep bunlardan birine binmek istemiştim.
		
		[MADELINE right sad]
		Bayağı eski görünüyor ama belki hala çalışıyordur.
		
		[MADELINE right distracted]
		Bu uçurumu geçmek için başka yol göremiyorum.
		
		[THEO left excited]
		Hadi binelim!

		{trigger 3 Look at Lever}
		
		[THEO right normal]
		Bu kol önemli gibi görünüyor.

		{trigger 4 Pull Lever}
		
		[THEO right normal]
		Hep bu kadar kolay oluyor.

		[THEO right thinking]
		Muhtemelen önceki hayatımda bir teleferik operatörüydüm.

		[MADELINE left distracted]
		Bu sence güvenli mi?

		[THEO right normal]
		Tabii ki, iyi olacak.

		{trigger 5 Wait a bit}

		[THEO right normal]
		{+oshiro} ile nasıl gitti?

		[MADELINE left sad]
		Haklıydın.

		[MADELINE left distracted]
		Ona yardım etmeye çalışmamalıydım.

		[THEO right thinking]
		"Söylemiştim" demek istemiyorum, ama...

		[MADELINE left upset]
		Evet evet...
		Seni dinlemeliydim.

		[THEO right normal]
		İncinmedin, önemli olan da bu.
		
		{trigger 5 Wait a bit}
		
		[MADELINE left sad]
		Yükseldikçe hava seyreliyor.

		[MADELINE left distracted]
		Zar zor nefes alıyorum.

		{trigger 6 Wait for gondola to reach center}
		
		[THEO right excited flip]
		Tamam, eğer bunun üzerine bir selfi{n}çekmezsek kesinlikle pişman olacağız.

		[MADELINE left distracted flip]
		Sis yüzünden zemini bile göremiyorum...
		Ne kadar yüksekteyiz?

		[THEO right thinking flip]
		Panikleme, poz ver.

		{trigger 7 Seflie, then gondola stalls out and badeline appears}
		{anchor bottom}
		
		[MADELINE left surprised]
		Bu neydi?
		
		[THEO right wtf flip]
		He. Görünüşe göre durduk.

		{trigger 8 Madeline moves left}
		
		[MADELINE left sad]
		Bu gerçekten çok kötü...

		[THEO right wtf]
		Belki de ben...

		{trigger 9 lever snaps off}
		
		[THEO right worried]
		Tamam, bu iyi değil.

		{trigger 10 tentacles appear}
		
		[MADELINE left panic]
		Hayır, bu gerçekten iyi değil.

		{trigger 11 tentacles grow}
		
		[THEO right worried]
		{+MADELINE}, iyi misin?

		[MADELINE left panic]
		Evet... Sadece...

		{trigger 12 Maddy can't breathe}

		[MADELINE left panic]
		Hayır, hiç iyi değilim.
		Nefes alamıyorum.
		
		[THEO right serious]
		Panik atak geçiriyorsun.

		[MADELINE left angry]
		Neden bu salak şeye binme{n}fikrinin iyi fikir olduğunu düşündün ki?

		[THEO right thinking]
		Hadi ama. Bunu benim üzerime yıkma.

		[THEO right serious]
		Burada benimle kal.
		Büyükbabam bana bunun için bir numara öğretmişti.
		Gözlerini kapat.

		{trigger 13 Play breathing minigame}
		
		[THEO right normal]
		Gördün mü? Her zaman işe yarar.

		{trigger 14 Gondola continues to the end station}

		{anchor top}
		
		[THEO left normal]
		Daha iyi hissediyor musun?
		
		[MADELINE right distracted flip]
		Galiba. Beni sakinleştirdiğin için teşekkür ederim.

		{trigger 15 Wait a bit}
		
		[MADELINE right sad flip]
		Tekrar çalışmaya başlayacağını nasıl bildin?
		
		[THEO left normal]
		Oo, işimizin tamamen bittiğini düşünmüştüm.

		{trigger 16 Theo takes out phone}
		
		[THEO left excited]
		Aman. Allahım.
		{silent_trigger 17 Maddy faces theo}
		Yine de, şu selfiye bak!

	CH4_GONDOLA_FEATHER_1=
		Önünde bir tüyün süzüldüğünü hayal et.

	CH4_GONDOLA_FEATHER_2=
		Gördün mü?

	CH4_GONDOLA_FEATHER_3=
		Tamam.
	
	CH4_GONDOLA_FEATHER_4=
		Nefes alışın onun havada kalmasını sağlıyor.

	CH4_GONDOLA_FEATHER_5=
		Sadece yavaş ve düzenli nefes al, al ve ver.

# *** Chapter 05 ***

	CH5_ENTRANCE=
		[THEO right excited flip]
		Oo adamım, şuraya bir bak!
		Maceracı gibi hissetmiyor musun?

		{trigger 0 Maddy turns right}

		[MADELINE left sad]
		Aa, bilmiyorum.
		Buradan bayağı karanlık görünüyor.

		[MADELINE left distracted]
		Maceradan çok kabusa benziyor.

		{trigger 1 Theo turns left}
		
		[THEO right normal]
		Sadece hızlıca bakacağım, birkaç fotoğraf çekeceğim.

		{trigger 1 Theo turns right}

		[THEO right excited flip]
		Burası antik olmalı!

		[MADELINE left sad]
		{+THEO}, bekle.
		
		[THEO right excited flip]
		{# FFFF4C}InstaPix{#} takipçilerim bunları yalayıp yutacak.

		{trigger 2 Theo leaves}
		
		[MADELINE left distracted]
		Bunun iyi sonuçlanacak yanı yok.

	CH5_PHONE=
		[MADELINE left sad]
		A oo.

		{trigger 0 Maddy walks to phone, ducks to pick it up}

		[MADELINE left distracted]
		Bu {+THEO}'nun telefonu...

		{trigger 1 Maddy stands back up}

		[MADELINE left determinedclosed]
		Panik yapma, {+MADELINE}.
		Belki sadece cebincen düşüvermiştir.
		Onu bulunca geri veririm.

	CH5_THEO_MIRROR=
		[MADELINE left normal]
		{+theo}! İşte buradasın!
		
		[THEO_MIRROR right excited]
		{+MADELINE}! Hey!
		
		[THEO_MIRROR right wtf]
		...Aa, neden aynanın içindesin?
		
		[MADELINE left sad]
		Aynanın içinde olanın sen olduğundan gayet eminim.
		Ne oldu?
		
		[THEO_MIRROR right wtf]
		Şey, umursamaz bir ayna selfisi çekiyordum...
		Bilirsin, {~}{# aaaaaa}"İşte adamınız {+THEO}{# aaaaaa}, {n}antik bir tapınağın içinde, büyütülecek birşey değil."{#}{/~}

		[THEO_MIRROR right thinking]
		{# ffff9b}\#kutsal{#}
		
		[THEO_MIRROR right serious]
		Sonra tek bildiğim yerde uzanmış halde uyandığım.
		
		[MADELINE left sad]
		Orası nasıl görünüyor?
		Seni nasıl bulabilirim?
		
		[THEO_MIRROR right serious]
		Burası, aa... Bayağı karanlık ve tuhaf. Orada...
		
		[THEO_MIRROR right wtf]
		Bekle, birşey geliyor.
		İçgüdülerim acilen kaçmam gerektiğini söylüyor.
		
		[THEO_MIRROR right serious]
		Dikkatli ol, tamam mı?

	CH5_SHADOW_MADDY_0=
		[MADELINE left angry]
		{*}Hey!{/*} Neredeyiz?
		{!}{+theo}'ya ne yaptın?{/!}
		
		[BADELINE right scoff]
		Bunu yapanın {~}ben{/~} olduğunu mu düşünüyorsun?
		Çok şirin.
		
		[BADELINE right upset]
		Hayatım, seni uyarmaya çalıştığım şey tam olarak buydu.
		
	CH5_SHADOW_MADDY_1=
		[MADELINE left angry]
		Bunu benim üzerime yıkmaya çalışma.

		[BADELINE right scoff]
		Hala anlamadın mı?

		[BADELINE right upset]
		{+mountain} bana bu vücudu verdi.

		[BADELINE right scoff]
		Ama o karmakarışık kafanda yaşayan tek {*}ürkütücü şey{/*} ben değilim.

		[BADELINE right normal]
		Gördüğünü beğenmedin mi?

		[BADELINE right scoff]
		{~}Ne büyük sürpriz.{/~}
		
		[MADELINE left angry]
		Kes sesini!

		[BADELINE right angry]
		Seni durdurmaya {~}çalıştım{/~}.

		[BADELINE right yell]
		Aynaya bir bak, hepsi senin.

		[BADELINE right angry]
		Bu tapınak sadece {+mountain}ın gücünü artırıyor.

		[BADELINE right upset]
		Burası senin kontrolünde, benim değil.

	CH5_SHADOW_MADDY_2=
		[MADELINE left sad]
		Sana inanmıyorum.

		[MADELINE left distracted]
		Eğer sen benim {+PART_OF_ME}san, neden beni incitmek istiyorsun?

		[BADELINE right angry]
		Zavallı {+MADELINE}, {~}hep mağdur olan sensin.{/~}

		[BADELINE right yell]
		Tek yaptığım sana bebek bakıcılığı yapmak,
		Ve bu yüzden benden nefret ediyorsun.

		[BADELINE right angry]
		Dağılıyorsun ve bunu biliyorsun.

		[MADELINE left angry]
		Eğer beni koruyamayı bu kadar umursuyorsan,{n}neden sadece burada olanları {*}açıklamıyorsun{/*}?
		
		[BADELINE right angry]
		Sanki beni dinliyor musun?
		Bana hiç şans vermedin.

	CH5_SHADOW_MADDY_3=
		[MADELINE left panic]
		Lütfen, bana buradan çıkmam için yardım et.

		[BADELINE right scoff]
		{~}Şimdi de{/~} seni kurtarmamı mı istiyorsun?

		[MADELINE left panic]
		Neden böyle yapıyorsun?
		Sadece benim yanımda ol.
		Lütfen.

		[BADELINE right angry]
		Beni canavarmışım gibi hissettirmeye çalışma.
		Neden yardım etmediğimi {~}gerçekten{/~} bilmek ister misin?

		[BADELINE right yell]
		Çünkü sen bunu {*}hak ettin{/*}

		[MADELINE left panic]
		...

		[BADELINE right angry]
		Hala {~}bu {+MOUNTAIN}'ı tırmanabileceğine{/~} inanıyor musun?

		[MADELINE left angry]
		{*}KAPAT ÇENENİ!{/*}

		{trigger 0 Badeline Leaves}

		[MADELINE left angry]
		{*}Yardımına ihtiyacım yok.{/*}
		Bunu yalnız yapacağım.

	CH5_REFLECTION=
		[MADELINE right sad]
		Bunların hepsi benim kafamdaysa, neden bu kadar saldırganlar?
		
		[MADELINE right distracted]
		Bu {*}şeyler{/*} bana zarar veriyor.
		Kendi dünyamda davetsiz misafirim.

		{trigger 0 Madeline falls to knees}
		
		[MADELINE right panic]
		{+theo}, benim yüzünden buralarda bir yerlerde hapis.
		Tamamen teslim olursam, belki tapınak gitmesine izin verir...

		{trigger 1 Madeline stops panicking}

		[MADELINE_MIRROR left determinedclosed flip]
		...
		Nefes al.
		
		[MADELINE_MIRROR left determined flip]
		Bunların hepsi benim içimden geliyor.
		Ayağa kalk, {+MADELINE}.

		{trigger 2 Madeline gets up}

		[MADELINE_MIRROR left determinedclosed flip]
		Tüyü düşün.
		{+theo}'u kurtarabilirsin.

	CH5_SEE_THEO=
		[MADELINE left normal]
		{+theo}! Allaha şükür seni buldum.
		
		[THEO right excited]
		{+MADELINE}! Vay, seni gördüğüme çok sevindim.

		{trigger 0 zoom in}

		[MADELINE left sad]
		İyi misin?
		
		[THEO right serious]
		Evet, İyiyim.

		[THEO right thinking]
		Yıllardır bu... kristal şeyin içinde takılmakla meşgulüm.

		[THEO right wtf]
		Buranın seni senden daha iyi{n}tanıdığı hissine kapılıyor musun?
		
		[MADELINE left distracted]
		Evet...
		Benim bu yanımı görmek zorunda{n}olduğun için çok utanıyorum.

		[MADELINE left upset]
		Seni durdurmaya çalıştım.
		Umarım şu selfi buna değmiştir.

		[THEO right yolo]
		Selfiler herşeye değer, kanka.

		[MADELINE left distracted]
		Kızmamam lazım, bu senin suçun değil.

		[MADELINE left sad]
		İyi olmana sevindim ama{n}benim yüzümden burada hapis kaldın.

		{trigger 1 Madeline turns around}

		[MADELINE left distracted flip]
		Ve şimdi bu tapınak sana neye benzediğimi gösteriyor.
		Çok kötüyüm...

		{trigger 2 wait a bit}

		[THEO right thinking]
		Hey, ikimiz de bunun içindeyiz.

		[THEO right wtf]
		Hepsi senin suçunmuş gibi davranma.

		{trigger 3 Madeline turns back, zoom out, room gets brighter}

		[MADELINE left sad]
		Ne demek istiyorsun?

		[THEO right wtf]
		Bu kristalin içine beni hapseden sen değilsin.
		Tabii, şu canavarlar senden geliyor ama{n}tapınak aynı zamanda benim etrafımda da şekilleniyor.

		[THEO right worried]
		Bunu {*}hissedebiliyorum{/*}.
		Şu {~}gözler{/~} beni izliyor...

		[THEO right wtf]
		Ve bu kristal benden kaynaklanıyor, biliyorum.

		[THEO right serious]
		Sormaya utanıyorum ama şu an gerçekten yardımın gerekiyor.

		{trigger 0 zoom back in}

		[MADELINE left sad]
		...
		
		[MADELINE left distracted]
		Tamam.

		[MADELINE left normal]
		Bunu halledeceğim.
		Seni o şeyden çıkaracağım{n}ve buradan beraber kaçacağız.

		[MADELINE left sad]
		Sana doğru gelen yolu bulur bulmaz...
		
		[THEO right serious]
		{+MADELINE}, şu an tek umudum sensin.
		Sana inanıyorum, gerçekten.

		[MADELINE left distracted]
		Umarım bu bir hata değildir.

	CH5_SEE_THEO_B=
		[MADELINE left distracted]
		Eğer tapınak ban ne olduğumu gösteriyorsa...

		[MADELINE left sad]
		...o zaman bunları hak etmişimdir, değil mi?

		[THEO right wtf]
		{+ALEX}, kendine bu kadar sert davranmayı bırakmalısın.

		[MADELINE left sad]
		...
		{+ALEX} kim?

		[THEO right thinking]
		Pardon, {+MADELINE} demek istemiştim.

		[THEO right wtf]
		Ama benim yorumum hala geçerli.
		Kimse bunu hak etmiyor, en azından sen.

		[MADELINE left sad]
		Evet... Haklısın.

		[MADELINE left determinedclosed]
		Tamam, bunu yapabilirim.

	CH5_FOUND_THEO=
		[MADELINE left normal]
		{+theo}! Gerçekten seni buldum.
		
		[THEO right excited]
		Yapacağını biliyordum!

		[MADELINE left sad]
		Kolay değildi...

		[MADELINE left distracted]
		Şu canavarlar gerçekten benin içinden mi geliyor?
		
		[THEO right thinking]
		{+MADELINE}, bu geçerli bir soru.
		Canavarlar ve içsel benliğin arasında nasıl{n}bir ilişki olduğunu tartışmaktan mutluluk duyarım...

		[THEO right wtf]
		Ama şimdi, {~}benim{/~} içsel benliğim bu kristalde{n}tıkılı kalmaktan gerçekten rahatsızlık duyuyor.
		
		[MADELINE left sad]
		Ha, doğru.

		[MADELINE left normal]
		Merak etme, 
		Don't worry, seni oradan çıkaracağım!

		{trigger 0 Attempt to break the crystal, but it just falls to the ground}
		
		[THEO right thinking]
		Pekala, bu sert bir başlangıç oldu, ama...
		
		[THEO right wtf]
		Bu kristal, şey, benim negatif ruhani{n}enerjimin dışa yansıması... Gibi birşey.

		[MADELINE left sad]
		Evet, ama nasıl kıracağız bunu?

		[THEO right serious]
		Burada hapis olmamın {~}nedenini{/~} bilseydim{n}belki bunu içerden kırabilirdim.

		[THEO right wtf]
		Ama bilmiyorum.

		[THEO right thinking]
		Ve bu kabus boyutunda sıkışmışken{n}bu konunun derinine inebileceğimi düşünmüyorum.
		
		[THEO right serious]
		Söylemekten nefret ediyorum ama galiba şey yapman-
		
		[MADELINE left angry]
		{+theo}, aklından bile geçirme!
		Seni {*}asla{/*} arkada bırakmayacağım!
		
		[THEO right worried]
		{~}Hayatta olmaz{/~}, Beni bu yerde bırakmasan iyi olur!

		[THEO right thinking]
		Beni taşıman gerektiğini söyleyecektim.
		
		[MADELINE left sad]
		Hee.
		
		[MADELINE left normal]
		Evet, onu yapabilirim.

	CH5_THEO_SAVING_LIFT=
		[THEO left thinking]
		Helal be kızım, epey güçlüsün.

	CH5_THEO_SAVING_A=
		[THEO left excited]
		{~}Tamamdır{/~}, kaptın sen bunu!

	CH5_THEO_SAVING_NICE=
		[THEO left thinking]
		Çok iyi iş çıkarıyorsun! O kapının hiç şansı yoktu.

	CH5_THEO_SAVING_B=
		[THEO left worried]
		A ov... Umarım bunlarla nasıl başa çıkılacağını biliyorsundur.

	CH5_THEO_SAVING_C=
		[THEO left worried]
		Bir tane daha mı!? Hadi ama...

	CH5_THEO_SAVING_SWITCH=
		[THEO left thinking]
		{+theo} yine günü kurtardı.

	CH5_THEO_SAVING_DUNK=
		[THEO left nailedit]
		Yardım ediyorum.

	CH5_THEO_SAVING_REALLY=
		[THEO left thinking]
		Şimdi onlara günlerini gösterdin.

	CH5_THEO_SAVING_D=
		[THEO left excited]
		Yaklaşmış olmalıyız, hissedebiliyorum.

